symbol,sector,industry,first_seen,last_seen,consecutive_failures
DORM,Consumer Discretionary,Automotive Parts & Equipment,2026-08-20,2026-08-23,0
DOV,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
DOW,Materials,Commodity Chemicals,2026-08-20,2026-08-23,0
DPZ,Consumer Discretionary,Restaurants,2026-08-20,2026-08-23,0
DRI,Consumer Discretionary,Restaurants,2026-08-20,2026-08-23,0
DT,Information Technology,Application Software,2026-08-20,2026-08-23,0
DTE,Utilities,Multi-Utilities,2026-08-20,2026-08-23,0
DTM,Energy,Oil & Gas Storage & Transportation,2026-08-20,2026-08-23,0
DUK,Utilities,Electric Utilities,2026-08-20,2026-08-23,0
DUOL,Consumer Discretionary,Education Services,2026-08-20,2026-08-23,0
DVA,Health Care,Health Care Services,2026-08-20,2026-08-23,0
DVAX,Health Care,Biotechnology,,,2
DVN,Energy,Oil & Gas Exploration & Production,2026-08-20,2026-08-23,0
DXC,Information Technology,IT Consulting & Other Services,2026-08-20,2026-08-23,0
DXCM,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
DXPE,Industrials,Trading Companies & Distributors,2026-08-20,2026-08-23,0
DY,Industrials,Construction & Engineering,2026-08-20,2026-08-23,0
EA,Communication Services,Interactive Home Entertainment,2026-08-20,2026-08-23,0
EAT,Consumer Discretionary,Restaurants,2026-08-20,2026-08-23,0
EBAY,Consumer Discretionary,Broadline Retail,2026-08-20,2026-08-23,0
ECG,Industrials,Construction & Engineering,2026-08-20,2026-08-23,0
ECL,Materials,Specialty Chemicals,2026-08-20,2026-08-23,0
ECPG,Financials,Consumer Finance,2026-08-20,2026-08-23,0
ED,Utilities,Multi-Utilities,2026-08-20,2026-08-23,0
EEFT,Financials,Transaction & Payment Processing Services,2026-08-20,2026-08-23,0
EFC,Financials,Specialized Finance,2026-08-20,2026-08-23,0
EFX,Industrials,Research & Consulting Services,2026-08-20,2026-08-23,0
EG,Financials,Reinsurance,2026-08-20,2026-08-23,0
EGBN,Financials,Regional Banks,2026-08-20,2026-08-23,0
EGP,Real Estate,Industrial REITs,2026-08-20,2026-08-23,0
EHC,Health Care,Health Care Facilities,2026-08-20,2026-08-23,0
EIX,Utilities,Electric Utilities,2026-08-20,2026-08-23,0
EL,Consumer Staples,Personal Care Products,2026-08-20,2026-08-23,0
ELAN,Health Care,Pharmaceuticals,2026-08-20,2026-08-23,0
ELF,Consumer Staples,Personal Care Products,2026-08-20,2026-08-23,0
ELS,Real Estate,Single-Family Residential REITs,2026-08-20,2026-08-23,0
ELV,Health Care,Managed Health Care,2026-08-20,2026-08-23,0
EMBC,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
EME,Industrials,Construction & Engineering,2026-08-20,2026-08-23,0
EMN,Materials,Specialty Chemicals,2026-08-20,2026-08-23,0
EMR,Industrials,Electrical Components & Equipment,2026-08-20,2026-08-23,0
ENOV,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
ENPH,Information Technology,Semiconductor Materials & Equipment,2026-08-20,2026-08-23,0
ENR,Consumer Staples,Household Products,2026-08-20,2026-08-23,0
ENS,Industrials,Electrical Components & Equipment,2026-08-20,2026-08-23,0
ENSG,Health Care,Health Care Facilities,2026-08-20,2026-08-23,0
ENTG,Information Technology,Semiconductor Materials & Equipment,2026-08-20,2026-08-23,0
ENVA,Financials,Consumer Finance,2026-08-20,2026-08-23,0
EOG,Energy,Oil & Gas Exploration & Production,2026-08-20,2026-08-23,0
EPAC,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
EPAM,Information Technology,IT Consulting & Other Services,2026-08-20,2026-08-23,0
EPC,Consumer Staples,Household Products,2026-08-20,2026-08-23,0
EPR,Real Estate,Other Specialized REITs,2026-08-20,2026-08-23,0
EPRT,Real Estate,Diversified REITs,2026-08-20,2026-08-23,0
EQH,Financials,Diversified Financial Services,2026-08-20,2026-08-23,0
EQIX,Real Estate,Data Center REITs,2026-08-20,2026-08-23,0
EQR,Real Estate,Multi-Family Residential REITs,2026-08-20,2026-08-23,0
EQT,Energy,Oil & Gas Exploration & Production,2026-08-20,2026-08-23,0
ERIE,Financials,Insurance Brokers,2026-08-20,2026-08-23,0
ES,Utilities,Electric Utilities,2026-08-20,2026-08-23,0
ESAB,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
ESE,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
ESI,Materials,Specialty Chemicals,2026-08-20,2026-08-23,0
ESNT,Financials,Commercial & Residential Mortgage Finance,2026-08-20,2026-08-23,0
ESS,Real Estate,Multi-Family Residential REITs,2026-08-20,2026-08-23,0
ETD,Consumer Discretionary,Home Furnishings,2026-08-20,2026-08-23,0
ETN,Industrials,Electrical Components & Equipment,2026-08-20,2026-08-23,0
ETR,Utilities,Electric Utilities,2026-08-20,2026-08-23,0
ETSY,Consumer Discretionary,Broadline Retail,2026-08-20,2026-08-23,0
EVR,Financials,Investment Banking & Brokerage,2026-08-20,2026-08-23,0
EVRG,Utilities,Electric Utilities,2026-08-20,2026-08-23,0
EVTC,Financials,Transaction & Payment Processing Services,2026-08-20,2026-08-23,0
EW,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
EWBC,Financials,Regional Banks,2026-08-20,2026-08-23,0
EXC,Utilities,Electric Utilities,2026-08-20,2026-08-23,0
EXE,Energy,Oil & Gas Exploration & Production,2026-08-20,2026-08-23,0
EXEL,Health Care,Biotechnology,2026-08-20,2026-08-23,0
EXLS,Industrials,Data Processing & Outsourced Services,2026-08-20,2026-08-23,0
EXP,Materials,Construction Materials,2026-08-20,2026-08-23,0
EXPD,Industrials,Air Freight & Logistics,2026-08-20,2026-08-23,0
EXPE,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2026-08-20,2026-08-23,0
EXPO,Industrials,Research & Consulting Services,2026-08-20,2026-08-23,0
EXR,Real Estate,Self-Storage REITs,2026-08-20,2026-08-23,0
EXTR,Information Technology,Communications Equipment,2026-08-20,2026-08-23,0
EYE,Consumer Discretionary,Specialty Stores,2026-08-20,2026-08-23,0
EZPW,Financials,Consumer Finance,2026-08-20,2026-08-23,0
F,Consumer Discretionary,Automobile Manufacturers,2026-08-20,2026-08-23,0
FAF,Financials,Property & Casualty Insurance,2026-08-20,2026-08-23,0
FANG,Energy,Oil & Gas Exploration & Production,2026-08-20,2026-08-23,0
FAST,Industrials,Trading Companies & Distributors,2026-08-20,2026-08-23,0
FBIN,Industrials,Building Products,2026-08-20,2026-08-23,0
FBK,Financials,Regional Banks,2026-08-20,2026-08-23,0
FBNC,Financials,Regional Banks,2026-08-20,2026-08-23,0
FBP,Financials,Regional Banks,2026-08-20,2026-08-23,0
FCF,Financials,Regional Banks,2026-08-20,2026-08-23,0
FCFS,Financials,Consumer Finance,2026-08-20,2026-08-23,0
FCN,Industrials,Research & Consulting Services,2026-08-20,2026-08-23,0
FCPT,Real Estate,Other Specialized REITs,2026-08-20,2026-08-23,0
FCX,Materials,Copper,2026-08-20,2026-08-23,0
FDS,Financials,Financial Exchanges & Data,2026-08-20,2026-08-23,0
FDX,Industrials,Air Freight & Logistics,2026-08-20,2026-08-23,0
FE,Utilities,Electric Utilities,2026-08-20,2026-08-23,0
FELE,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
FFBC,Financials,Regional Banks,2026-08-20,2026-08-23,0
FFIN,Financials,Regional Banks,2026-08-20,2026-08-23,0
FFIV,Information Technology,Communications Equipment,2026-08-20,2026-08-23,0
FHB,Financials,Regional Banks,2026-08-20,2026-08-23,0
FHI,Financials,Asset Management & Custody Banks,2026-08-20,2026-08-23,0
FHN,Financials,Regional Banks,2026-08-20,2026-08-23,0
FIBK,Financials,Regional Banks,2026-08-20,2026-08-23,0
FICO,Information Technology,Application Software,2026-08-20,2026-08-23,0
FIS,Financials,Transaction & Payment Processing Services,2026-08-20,2026-08-23,0
FISV,Financials,Transaction & Payment Processing Services,2026-08-20,2026-08-23,0
FITB,Financials,Regional Banks,2026-08-20,2026-08-23,0
FIVE,Consumer Discretionary,Specialty Stores,2026-08-20,2026-08-23,0
FIX,Industrials,Construction & Engineering,2026-08-20,2026-08-23,0
FIZZ,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2026-08-20,2026-08-23,0
FLEX,Information Technology,Electronic Manufacturing Services,2026-08-20,2026-08-23,0
FLG,Financials,Regional Banks,2026-08-20,2026-08-23,0
FLO,Consumer Staples,Packaged Foods & Meats,2026-08-20,2026-08-23,0
FLR,Industrials,Construction & Engineering,2026-08-20,2026-08-23,0
FLS,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
FMC,Materials,Fertilizers & Agricultural Chemicals,2026-08-20,2026-08-23,0
FN,Information Technology,Electronic Manufacturing Services,2026-08-20,2026-08-23,0
FNB,Financials,Regional Banks,2026-08-20,2026-08-23,0
FND,Consumer Discretionary,Home Improvement Retail,2026-08-20,2026-08-23,0
FNF,Financials,Property & Casualty Insurance,2026-08-20,2026-08-23,0
FORM,Information Technology,Semiconductor Materials & Equipment,2026-08-20,2026-08-23,0
FOUR,Financials,Transaction & Payment Processing Services,2026-08-20,2026-08-23,0
FOX,Communication Services,Broadcasting,2026-08-20,2026-08-23,0
FOXA,Communication Services,Broadcasting,2026-08-20,2026-08-23,0
FOXF,Consumer Discretionary,Automotive Parts & Equipment,2026-08-20,2026-08-23,0
FR,Real Estate,Industrial REITs,2026-08-20,2026-08-23,0
FRPT,Consumer Staples,Packaged Foods & Meats,2026-08-20,2026-08-23,0
FRT,Real Estate,Retail REITs,2026-08-20,2026-08-23,0
FSLR,Information Technology,Semiconductors,2026-08-20,2026-08-23,0
FSS,Industrials,Construction Machinery & Heavy Transportation Equipment,2026-08-20,2026-08-23,0
FTDR,Consumer Discretionary,Specialized Consumer Services,2026-08-20,2026-08-23,0
FTI,Energy,Oil & Gas Equipment & Services,2026-08-20,2026-08-23,0
FTNT,Information Technology,Systems Software,2026-08-20,2026-08-23,0
FTRE,Health Care,Biotechnology,2026-08-20,2026-08-23,0
FTV,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
FUL,Materials,Specialty Chemicals,2026-08-20,2026-08-23,0
FULT,Financials,Regional Banks,2026-08-20,2026-08-23,0
FUN,Consumer Discretionary,Leisure Facilities,2026-08-20,2026-08-23,0
FWRD,Industrials,Air Freight & Logistics,2026-08-20,2026-08-23,0
FXF,,,2026-08-20,2026-08-23,0
FXY,,,2026-08-20,2026-08-23,0
G,Industrials,Data Processing & Outsourced Services,2026-08-20,2026-08-23,0
GAP,Consumer Discretionary,Apparel Retail,2026-08-20,2026-08-23,0
GATX,Industrials,Construction Machinery & Heavy Transportation Equipment,2026-08-20,2026-08-23,0
GBCI,Financials,Regional Banks,2026-08-20,2026-08-23,0
GBX,Industrials,Construction Machinery & Heavy Transportation Equipment,2026-08-20,2026-08-23,0
GD,Industrials,Aerospace & Defense,2026-08-20,2026-08-23,0
GDDY,Information Technology,Internet Services & Infrastructure,2026-08-20,2026-08-23,0
GE,Industrials,Aerospace & Defense,2026-08-20,2026-08-23,0
GEF,Materials,"Metal, Glass & Plastic Containers",2026-08-20,2026-08-23,0
GEHC,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
GEN,Information Technology,Systems Software,2026-08-20,2026-08-23,0
GEO,Industrials,Environmental & Facilities Services,2026-08-20,2026-08-23,0
GEV,Industrials,Heavy Electrical Equipment,2026-08-20,2026-08-23,0
GFF,Industrials,Building Products,2026-08-20,2026-08-23,0
GGG,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
GHC,Consumer Discretionary,Education Services,2026-08-20,2026-08-23,0
GIII,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2026-08-20,2026-08-23,0
GILD,Health Care,Biotechnology,2026-08-20,2026-08-23,0
GIS,Consumer Staples,Packaged Foods & Meats,2026-08-20,2026-08-23,0
GKOS,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
GL,Financials,Life & Health Insurance,2026-08-20,2026-08-23,0
GLD,,,2026-08-20,2026-08-23,0
GLPI,Real Estate,Other Specialized REITs,2026-08-20,2026-08-23,0
GLW,Information Technology,Electronic Components,2026-08-20,2026-08-23,0
GM,Consumer Discretionary,Automobile Manufacturers,2026-08-20,2026-08-23,0
GME,Consumer Discretionary,Computer & Electronics Retail,2026-08-20,2026-08-23,0
GMED,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
GNRC,Industrials,Electrical Components & Equipment,2026-08-20,2026-08-23,0
GNTX,Consumer Discretionary,Automotive Parts & Equipment,2026-08-20,2026-08-23,0
GOLF,Consumer Discretionary,Leisure Products,2026-08-20,2026-08-23,0
GOOG,Communication Services,Interactive Media & Services,2026-08-20,2026-08-23,0
GOOGL,Communication Services,Interactive Media & Services,2026-08-20,2026-08-23,0
GPC,Consumer Discretionary,Distributors,2026-08-20,2026-08-23,0
GPI,Consumer Discretionary,Automotive Retail,2026-08-20,2026-08-23,0
GPK,Materials,Paper & Plastic Packaging Products & Materials,2026-08-20,2026-08-23,0
GPN,Financials,Transaction & Payment Processing Services,2026-08-20,2026-08-23,0
GRBK,Consumer Discretionary,Homebuilding,2026-08-20,2026-08-23,0
GRMN,Consumer Discretionary,Consumer Electronics,2026-08-20,2026-08-23,0
GS,Financials,Investment Banking & Brokerage,2026-08-20,2026-08-23,0
GSHD,Financials,Insurance Brokers,2026-08-20,2026-08-23,0
GT,Consumer Discretionary,Tires & Rubber,2026-08-20,2026-08-23,0
GTES,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
GTLS,Industrials,Industrial Machinery & Supplies & Components,2026-08-23,2026-08-23,0
GTY,Real Estate,Retail REITs,2026-08-20,2026-08-23,0
GVA,Industrials,Construction & Engineering,2026-08-20,2026-08-23,0
GWRE,Information Technology,Application Software,2026-08-20,2026-08-23,0
GWW,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
GXO,Industrials,Air Freight & Logistics,2026-08-20,2026-08-23,0
H,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2026-08-20,2026-08-23,0
HAE,Health Care,Health Care Supplies,2026-08-20,2026-08-23,0
HAL,Energy,Oil & Gas Equipment & Services,2026-08-20,2026-08-23,0
HALO,Health Care,Biotechnology,2026-08-20,2026-08-23,0
HAS,Consumer Discretionary,Leisure Products,2026-08-20,2026-08-23,0
HASI,Financials,Specialized Finance,2026-08-20,2026-08-23,0
HAYW,Industrials,Electrical Components & Equipment,2026-08-20,2026-08-23,0
HBAN,Financials,Regional Banks,2026-08-20,2026-08-23,0
HCA,Health Care,Health Care Facilities,2026-08-20,2026-08-23,0
HCC,Materials,Steel,2026-08-20,2026-08-23,0
HCI,Financials,Property & Casualty Insurance,2026-08-20,2026-08-23,0
HCSG,Industrials,Environmental & Facilities Services,2026-08-20,2026-08-23,0
HD,Consumer Discretionary,Home Improvement Retail,2026-08-20,2026-08-23,0
HE,Utilities,Electric Utilities,2026-08-20,2026-08-23,0
HGV,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2026-08-20,2026-08-23,0
HI,Industrials,Industrial Machinery & Supplies & Components,,,2
HIG,Financials,Property & Casualty Insurance,2026-08-20,2026-08-23,0
HII,Industrials,Aerospace & Defense,2026-08-20,2026-08-23,0
HIMS,Health Care,Health Care Services,2026-08-20,2026-08-23,0
HIW,Real Estate,Office REITs,2026-08-20,2026-08-23,0
HL,Materials,Silver,2026-08-20,2026-08-23,0
HLI,Financials,Investment Banking & Brokerage,2026-08-20,2026-08-23,0
HLNE,Financials,Asset Management & Custody Banks,2026-08-20,2026-08-23,0
HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2026-08-20,2026-08-23,0
HMN,Financials,Multi-line Insurance,2026-08-20,2026-08-23,0
HNI,Industrials,Office Services & Supplies,2026-08-20,2026-08-23,0
HOG,Consumer Discretionary,Motorcycle Manufacturers,2026-08-20,2026-08-23,0
HOLX,Health Care,Health Care Equipment,,,2
HOMB,Financials,Regional Banks,2026-08-20,2026-08-23,0
HON,Industrials,Industrial Conglomerates,2026-08-20,2026-08-23,0
HOOD,Financials,Investment Banking & Brokerage,2026-08-20,2026-08-23,0
HOPE,Financials,Regional Banks,2026-08-20,2026-08-23,0
HP,Energy,Oil & Gas Drilling,2026-08-20,2026-08-23,0
HPE,Information Technology,"Technology Hardware, Storage & Peripherals",2026-08-20,2026-08-23,0
HPQ,Information Technology,"Technology Hardware, Storage & Peripherals",2026-08-20,2026-08-23,0
HQY,Health Care,Managed Health Care,2026-08-20,2026-08-23,0
HR,Real Estate,Health Care REITs,2026-08-20,2026-08-23,0
HRB,Consumer Discretionary,Specialized Consumer Services,2026-08-20,2026-08-23,0
HRL,Consumer Staples,Packaged Foods & Meats,2026-08-20,2026-08-23,0
HRMY,Health Care,Biotechnology,2026-08-20,2026-08-23,0
HSIC,Health Care,Health Care Distributors,2026-08-20,2026-08-23,0
HST,Real Estate,Hotel & Resort REITs,2026-08-20,2026-08-23,0
HSY,Consumer Staples,Packaged Foods & Meats,2026-08-20,2026-08-23,0
HTH,Financials,Regional Banks,2026-08-20,2026-08-23,0
HTLD,Industrials,Cargo Ground Transportation,2026-08-20,2026-08-23,0
HTO,Utilities,Water Utilities,2026-08-20,2026-08-23,0
HUBB,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
HUBG,Industrials,Air Freight & Logistics,2026-08-20,2026-08-23,0
HUM,Health Care,Managed Health Care,2026-08-20,2026-08-23,0
HWC,Financials,Regional Banks,2026-08-20,2026-08-23,0
HWKN,Materials,Commodity Chemicals,2026-08-20,2026-08-23,0
HWM,Industrials,Aerospace & Defense,2026-08-20,2026-08-23,0
HXL,Industrials,Aerospace & Defense,2026-08-20,2026-08-23,0
HZO,Consumer Discretionary,Specialty Stores,2026-08-20,2026-08-23,0
IAC,Communication Services,Publishing,,,2
IBKR,Financials,Investment Banking & Brokerage,2026-08-20,2026-08-23,0
IBM,Information Technology,IT Consulting & Other Services,2026-08-20,2026-08-23,0
IBOC,Financials,Regional Banks,2026-08-20,2026-08-23,0
IBP,Consumer Discretionary,Homebuilding,2026-08-20,2026-08-23,0
ICE,Financials,Financial Exchanges & Data,2026-08-20,2026-08-23,0
ICHR,Information Technology,Semiconductor Materials & Equipment,2026-08-20,2026-08-23,0
ICUI,Health Care,Health Care Supplies,2026-08-20,2026-08-23,0
IDA,Utilities,Electric Utilities,2026-08-20,2026-08-23,0
IDCC,Information Technology,Communications Equipment,2026-08-20,2026-08-23,0
IDXX,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
IEX,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
IFF,Materials,Specialty Chemicals,2026-08-20,2026-08-23,0
IIPR,Real Estate,Industrial REITs,2026-08-20,2026-08-23,0
IJH,,,2026-08-20,2026-08-23,0
IJR,,,2026-08-20,2026-08-23,0
ILMN,Health Care,Life Sciences Tools & Services,2026-08-20,2026-08-23,0
INCY,Health Care,Biotechnology,2026-08-20,2026-08-23,0
INDB,Financials,Regional Banks,2026-08-20,2026-08-23,0
INDV,Health Care,Pharmaceuticals,2026-08-20,2026-08-23,0
INGR,Consumer Staples,Agricultural Products & Services,2026-08-20,2026-08-23,0
INSP,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
INSW,Energy,Oil & Gas Storage & Transportation,2026-08-20,2026-08-23,0
INTC,Information Technology,Semiconductors,2026-08-20,2026-08-23,0
INTU,Information Technology,Application Software,2026-08-20,2026-08-23,0
INVA,Health Care,Pharmaceuticals,2026-08-20,2026-08-23,0
INVH,Real Estate,Single-Family Residential REITs,2026-08-20,2026-08-23,0
IOSP,Materials,Specialty Chemicals,2026-08-20,2026-08-23,0
IP,Materials,Paper & Plastic Packaging Products & Materials,2026-08-20,2026-08-23,0
IPAR,Consumer Staples,Household Products,2026-08-20,2026-08-23,0
IPGP,Information Technology,Electronic Manufacturing Services,2026-08-20,2026-08-23,0
IQV,Health Care,Life Sciences Tools & Services,2026-08-20,2026-08-23,0
IR,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
IRDM,Communication Services,Alternative Carriers,2026-08-20,2026-08-23,0
IRM,Real Estate,Other Specialized REITs,2026-08-20,2026-08-23,0
IRT,Real Estate,Multi-Family Residential REITs,2026-08-20,2026-08-23,0
ISRG,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
IT,Information Technology,IT Consulting & Other Services,2026-08-20,2026-08-23,0
ITGR,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
ITRI,Information Technology,Electronic Equipment & Instruments,2026-08-20,2026-08-23,0
ITT,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
ITW,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
IVZ,Financials,Asset Management & Custody Banks,2026-08-20,2026-08-23,0
J,Industrials,Construction & Engineering,2026-08-20,2026-08-23,0
JAZZ,Health Care,Pharmaceuticals,2026-08-20,2026-08-23,0
JBHT,Industrials,Cargo Ground Transportation,2026-08-20,2026-08-23,0
JBL,Information Technology,Electronic Manufacturing Services,2026-08-20,2026-08-23,0
JBTM,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
JCI,Industrials,Building Products,2026-08-20,2026-08-23,0
JEF,Financials,Multi-Sector Holdings,2026-08-20,2026-08-23,0
JHG,Financials,Asset Management & Custody Banks,2026-08-23,2026-08-23,0
JJSF,Consumer Staples,Packaged Foods & Meats,2026-08-20,2026-08-23,0
JKHY,Financials,Transaction & Payment Processing Services,2026-08-20,2026-08-23,0
JLL,Real Estate,Real Estate Services,2026-08-20,2026-08-23,0
JNJ,Health Care,Pharmaceuticals,2026-08-20,2026-08-23,0
JOE,Real Estate,Real Estate Development,2026-08-20,2026-08-23,0
JPM,Financials,Diversified Banks,2026-08-20,2026-08-23,0
JXN,Financials,Life & Health Insurance,2026-08-20,2026-08-23,0
KAI,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
KALU,Materials,Aluminum,2026-08-20,2026-08-23,0
KBH,Consumer Discretionary,Homebuilding,2026-08-20,2026-08-23,0
KBR,Industrials,Diversified Support Services,2026-08-20,2026-08-23,0
KD,Information Technology,IT Consulting & Other Services,2026-08-20,2026-08-23,0
KDP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2026-08-20,2026-08-23,0
KEX,Industrials,Marine Transportation,2026-08-20,2026-08-23,0
KEY,Financials,Regional Banks,2026-08-20,2026-08-23,0
KEYS,Information Technology,Electronic Equipment & Instruments,2026-08-20,2026-08-23,0
KFY,Industrials,Human Resource & Employment Services,2026-08-20,2026-08-23,0
KGS,Energy,Oil & Gas Equipment & Services,2026-08-20,2026-08-23,0
KHC,Consumer Staples,Packaged Foods & Meats,2026-08-20,2026-08-23,0
KIM,Real Estate,Retail REITs,2026-08-20,2026-08-23,0
KKR,Financials,Asset Management & Custody Banks,2026-08-20,2026-08-23,0
KLAC,Information Technology,Semiconductor Materials & Equipment,2026-08-20,2026-08-23,0
KLIC,Information Technology,Semiconductor Materials & Equipment,2026-08-20,2026-08-23,0
KMB,Consumer Staples,Household Products,2026-08-20,2026-08-23,0
KMI,Energy,Oil & Gas Storage & Transportation,2026-08-20,2026-08-23,0
KMPR,Financials,Multi-line Insurance,2026-08-20,2026-08-23,0
KMT,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
KMX,Consumer Discretionary,Automotive Retail,2026-08-20,2026-08-23,0
KN,Information Technology,Electronic Components,2026-08-20,2026-08-23,0
KNF,Materials,Construction Materials,2026-08-20,2026-08-23,0
KNSL,Financials,Property & Casualty Insurance,2026-08-20,2026-08-23,0
KNTK,Energy,Oil & Gas Storage & Transportation,2026-08-20,2026-08-23,0
KNX,Industrials,Cargo Ground Transportation,2026-08-20,2026-08-23,0
KO,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2026-08-20,2026-08-23,0
KR,Consumer Staples,Food Retail,2026-08-20,2026-08-23,0
KRC,Real Estate,Office REITs,2026-08-20,2026-08-23,0
KRG,Real Estate,Retail REITs,2026-08-20,2026-08-23,0
KRYS,Health Care,Biotechnology,2026-08-20,2026-08-23,0
KSS,Consumer Discretionary,Broadline Retail,2026-08-20,2026-08-23,0
KTB,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2026-08-20,2026-08-23,0
KTOS,Industrials,Aerospace & Defense,2026-08-20,2026-08-23,0
KVUE,Consumer Staples,Personal Care Products,2026-08-20,2026-08-23,0
KWR,Materials,Specialty Chemicals,2026-08-20,2026-08-23,0
L,Financials,Multi-line Insurance,2026-08-20,2026-08-23,0
LAD,Consumer Discretionary,Automotive Retail,2026-08-20,2026-08-23,0
LAMR,Real Estate,Other Specialized REITs,2026-08-20,2026-08-23,0
LBRT,Energy,Oil & Gas Equipment & Services,2026-08-20,2026-08-23,0
LCII,Consumer Discretionary,Automotive Parts & Equipment,2026-08-20,2026-08-23,0
LDOS,Industrials,Diversified Support Services,2026-08-20,2026-08-23,0
LEA,Consumer Discretionary,Automotive Parts & Equipment,2026-08-20,2026-08-23,0
LECO,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
LEG,Consumer Discretionary,Home Furnishings,2026-08-20,2026-08-23,0
LEN,Consumer Discretionary,Homebuilding,2026-08-20,2026-08-23,0
LFUS,Information Technology,Electronic Components,2026-08-20,2026-08-23,0
LGIH,Consumer Discretionary,Homebuilding,2026-08-20,2026-08-23,0
LGND,Health Care,Biotechnology,2026-08-20,2026-08-23,0
LH,Health Care,Health Care Services,2026-08-20,2026-08-23,0
LHX,Industrials,Aerospace & Defense,2026-08-20,2026-08-23,0
LII,Industrials,Building Products,2026-08-20,2026-08-23,0
LIN,Materials,Industrial Gases,2026-08-20,2026-08-23,0
LITE,Information Technology,Communications Equipment,2026-08-20,2026-08-23,0
LIVN,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
LKFN,Financials,Regional Banks,2026-08-20,2026-08-23,0
LKQ,Consumer Discretionary,Distributors,2026-08-20,2026-08-23,0
LLY,Health Care,Pharmaceuticals,2026-08-20,2026-08-23,0
LMAT,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
LMT,Industrials,Aerospace & Defense,2026-08-20,2026-08-23,0
LNC,Financials,Multi-line Insurance,2026-08-20,2026-08-23,0
LNN,Materials,Agricultural & Farm Machinery,2026-08-20,2026-08-23,0
LNT,Utilities,Electric Utilities,2026-08-20,2026-08-23,0
LNTH,Health Care,Health Care Supplies,2026-08-20,2026-08-23,0
LOPE,Consumer Discretionary,Education Services,2026-08-20,2026-08-23,0
LOW,Consumer Discretionary,Home Improvement Retail,2026-08-20,2026-08-23,0
LPG,Energy,Oil & Gas Storage & Transportation,2026-08-20,2026-08-23,0
LPX,Materials,Forest Products,2026-08-20,2026-08-23,0
LRCX,Information Technology,Semiconductor Materials & Equipment,2026-08-20,2026-08-23,0
LRN,Consumer Discretionary,Education Services,2026-08-20,2026-08-23,0
LSCC,Information Technology,Semiconductors,2026-08-20,2026-08-23,0
LSTR,Industrials,Cargo Ground Transportation,2026-08-20,2026-08-23,0
LTC,Real Estate,Health Care REITs,2026-08-20,2026-08-23,0
LULU,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2026-08-20,2026-08-23,0
LUV,Industrials,Passenger Airlines,2026-08-20,2026-08-23,0
LVS,Consumer Discretionary,Casinos & Gaming,2026-08-20,2026-08-23,0
LW,Consumer Staples,Packaged Foods & Meats,2026-08-20,2026-08-23,0
LXP,Real Estate,Diversified REITs,2026-08-20,2026-08-23,0
